Date,Flight Number,Site,Pilot,Description,Flight Start Time,# of Missions,Take Off,Mission 1 Start,Mission 1 Stop,Mission 2 Start,Mission 2 Stop,Mission 3 Start,Mission 3 Stop,Touch Down,Top Licor Data,Vehicle Data,Flight Kestrel (Miss Othmar),Weather Data (Met Tower & Miss Baker)
07/03/2021,F1,Carbon Farm,PF,VP Waypoint ID,11:00,1,,,,,,,,,https://drive.google.com/file/d/15ezc0dPPJiEq9GmaTAHV1VIYSRJqGQT7/view?usp=sharing,,,
07/03/2021,F2,Carbon Farm,PF,,11:35,1,,,,,,,,,https://drive.google.com/file/d/15ezc0dPPJiEq9GmaTAHV1VIYSRJqGQT7/view?usp=sharing,,,
07/03/2021,F3,Carbon Farm,PF,,11:57,1,,,,,,,,,https://drive.google.com/file/d/15ezc0dPPJiEq9GmaTAHV1VIYSRJqGQT7/view?usp=sharing ; https://drive.google.com/file/d/13CxZlQCej16GbMzhlYNSTdnJ_V3857V_/view?usp=sharing,,,
07/03/2021,F4,Carbon Farm,PF,,12:14,1,,,,,,,,,https://drive.google.com/file/d/13CxZlQCej16GbMzhlYNSTdnJ_V3857V_/view?usp=sharing,,,
07/03/2021,F5,Carbon Farm,PF,,14:34,1,,,,,,,,,https://drive.google.com/file/d/1U_KLdKqnMxDTMR2RBSnBX0HVQZJY7V_v/view?usp=sharing,,,
07/05/2021,F6,Canopy Tower,PF,VP Waypoint ID,14:20:50,0,14:22:18,NA,NA,NA,NA,NA,NA,14:38:44,https://drive.google.com/file/d/1VTCR4GgAYyOiGlbzL7sYRyyEYWmfEd_v/view?usp=sharing,,,https://drive.google.com/file/d/1QX8Ob1aHAW1QQKKJmVTxwZY5idrPoEao/view?usp=sharing
07/05/2021,F7,Canopy Tower,PF,VP x 1,14:46:33,1,14:48:31,14:52:37,14:53:24,NA,NA,NA,NA,14:57:48,https://docs.google.com/spreadsheets/d/1-rdsIwlBcUEwgG7RNeBWZpfGFUz2ykxVe8J2ypVd6TM/edit?usp=sharing,,,https://drive.google.com/file/d/1QX8Ob1aHAW1QQKKJmVTxwZY5idrPoEao/view?usp=sharing
07/06/2021,F8,Canopy Tower,PF,VP x 2,6:07:23,2,6:12:50,6:17:53,6:19:15,6:22:18,6:25:53,NA,NA,6:28:58,,,,https://drive.google.com/file/d/1Ljqp4v3507tmq9knER8IQ5pSMWosBsOD/view?usp=sharing
07/06/2021,F9,Canopy Tower,PF,VP x 2,6:33:12,2,6:35:23,6:39:04,6:43:29,6:44:17,6:48:45,NA,NA,6:51:14,https://docs.google.com/spreadsheets/d/13A2wEnzV7XfVlnazkTL3hUDJr3gX_lCWY3gYCCrODEY/edit?usp=sharing,,,https://drive.google.com/file/d/1Ljqp4v3507tmq9knER8IQ5pSMWosBsOD/view?usp=sharing
07/06/2021,F10,Canopy Tower,PF,VP x 2,9:01:37,2,9:02:19,9:05:44,9:10:11,9:10:57,9:15:25,NA,NA,9:17:26,https://docs.google.com/spreadsheets/d/1hZwvKJ2IvhBiF0aS8ka4sEkKG79FHp2EHT8SeNAbV5E/edit?usp=sharing,,,https://drive.google.com/file/d/1C6SsGYzKkggty41UWVla_jnWxRHFYvW8/view?usp=sharing
07/06/2021,F11,Canopy Tower,PF,Box Waypoint ID,9:23:14,0,9:15:26:16,NA,NA,NA,NA,NA,NA,9:41:42,https://docs.google.com/spreadsheets/d/1l3S4dhAvbYWeyWR_H9yRbMy1-XdHQEgLtg_epJFaLGY/edit?usp=sharing,,,https://drive.google.com/file/d/1C6SsGYzKkggty41UWVla_jnWxRHFYvW8/view?usp=sharing
07/06/2021,F12,Canopy Tower,PF,HP Waypoint ID,9:54:38,0,9:55:28,NA,NA,NA,NA,NA,NA,10:08:54,https://docs.google.com/spreadsheets/d/1p-7KWzGJiRmj1eBJy_OQfWevMImW_L2RYo2AU0aLgKc/edit?usp=sharing,,,https://drive.google.com/file/d/1C6SsGYzKkggty41UWVla_jnWxRHFYvW8/view?usp=sharing; https://drive.google.com/file/d/16VXtXHmdoOHgQOq1Se_1Xo3pjvkUNBrX/view?usp=sharing
07/06/2021,F13,Canopy Tower,PF,VP x 2,10:13:17,2,10:15:25,10:17:51,10:22:16,10:23:06,10:27:34,NA,NA,10:29:44,https://docs.google.com/spreadsheets/d/1Clzex0Xvf_TNQVY7GiX9MftP79KJe7ld8kANbphEJ1E/edit?usp=sharing,,,https://drive.google.com/file/d/16VXtXHmdoOHgQOq1Se_1Xo3pjvkUNBrX/view?usp=sharing
